threshold,recall,uncorrected_precision,precision,specificity
0.0,1.0,0.1333686627804275,0.02702702702702703,1.0
0.005,1.0,0.1333686627804275,0.02702702702702703,1.0
0.01,0.9417218543046357,0.21396328618718025,0.04683213034995712,1.0
0.015,0.9298013245033112,0.22536115569823434,0.04989199377099758,1.0
0.02,0.9205298013245033,0.23519458544839256,0.052588766785113386,1.0
0.025,0.909933774834437,0.24275618374558303,0.05469940339024378,1.0
0.03,0.9006622516556292,0.2501839587932303,0.05680472244338906,1.0
0.035,0.8980132450331125,0.25642965204236007,0.05860010794517501,1.0
0.04,0.8940397350993378,0.26254375729288215,0.06038034943311885,1.0
0.045,0.8874172185430463,0.2683219863836604,0.06208381244796476,1.0
0.05,0.8847682119205298,0.27478403948992186,0.06401353492690419,1.0
0.055,0.8834437086092716,0.28001679261125106,0.06559559533353665,1.0
0.06,0.8781456953642384,0.2832123024348569,0.06657040938285025,1.0
0.065,0.871523178807947,0.2859626249456758,0.06741475515198031,1.0
0.07,0.8675496688741722,0.29162956366874443,0.06917026804035833,1.0
0.075,0.8622516556291391,0.29483695652173914,0.07017338713238963,1.0
0.08,0.8529801324503311,0.2967741935483871,0.07078263749664399,1.0
0.085,0.8503311258278146,0.3012670107930549,0.07220549009423789,1.0
0.09,0.8463576158940397,0.30428571428571427,0.07316933813894456,1.0
0.095,0.8423841059602649,0.3072463768115942,0.07412084510157843,1.0
0.1,0.83841059602649,0.3089311859443631,0.07466507445186231,1.0
0.105,0.8370860927152318,0.3130262506191184,0.07599629522619679,1.0
0.11,0.8370860927152318,0.3174284279256655,0.07744082078390514,1.0
0.115,0.8344370860927153,0.3212646608873024,0.0787111738604276,1.0
0.12,0.8344370860927153,0.3237410071942446,0.07953697999416363,1.0
0.125,0.8304635761589404,0.32554517133956384,0.08014150683109204,1.0
0.13,0.8278145695364238,0.3286014721345952,0.08117117329373762,1.0
0.135,0.8264900662251655,0.3326226012793177,0.08253669167347161,1.0
0.14,0.8225165562913908,0.33676789587852496,0.08395738662997332,1.0
0.145,0.8185430463576159,0.3397471137987905,0.08498669996273028,1.0
0.15,0.8172185430463577,0.3420177383592018,0.08577588530034659,1.0
0.155,0.8092715231788079,0.34441939120631343,0.08661506419949246,1.0
0.16,0.8066225165562914,0.34621944286526435,0.08724705687767534,1.0
0.165,0.8039735099337748,0.34865020103388855,0.08810463128736275,1.0
0.17,0.8013245033112583,0.351335656213705,0.08905764159409797,1.0
0.17500000000000002,0.8013245033112583,0.3542154566744731,0.09008618818872471,1.0
0.18,0.7947019867549668,0.3552397868561279,0.09045368811730585,1.0
0.185,0.7907284768211921,0.35748502994011977,0.09126226878852359,1.0
0.19,0.7907284768211921,0.36138014527845036,0.09267504756234556,1.0
0.195,0.7907284768211921,0.3642464917632703,0.09372289838332526,1.0
0.2,0.7894039735099337,0.3669950738916256,0.09473431019766847,1.0
0.20500000000000002,0.7867549668874172,0.3694029850746269,0.09562573314952176,1.0
0.21,0.7841059602649006,0.3704630788485607,0.0960197877294178,1.0
0.215,0.7788079470198676,0.3730964467005076,0.09700292226579303,1.0
0.22,0.776158940397351,0.37757731958762886,0.09868992251361754,1.0
0.225,0.7748344370860927,0.38210320052253427,0.1004121783104153,1.0
0.23,0.7721854304635761,0.38481848184818485,0.10145439348341818,1.0
0.23500000000000001,0.7655629139072848,0.38636363636363635,0.10205050522353909,1.0
0.24,0.7642384105960265,0.38855218855218854,0.10289862648045989,1.0
0.245,0.7642384105960265,0.3922501699524133,0.10434187912707564,1.0
0.25,0.7629139072847683,0.3942505133470226,0.10512796131093884,1.0
0.255,0.7602649006622516,0.39668279198341394,0.10608892705083721,1.0
0.26,0.7576158940397351,0.398884239888424,0.1069636009250405,1.0
0.265,0.7536423841059603,0.39985945186226285,0.10735257006878451,1.0
0.27,0.752317880794702,0.4025513819985826,0.10843107770671846,1.0
0.275,0.7509933774834437,0.4064516129032258,0.11000634245408128,1.0
0.28,0.7509933774834437,0.41027496382054995,0.11156528098331708,1.0
0.28500000000000003,0.7496688741721854,0.41253644314868804,0.11249432625573069,1.0
0.29,0.7470198675496689,0.415929203539823,0.1138979146064485,1.0
0.295,0.7443708609271523,0.4178438661710037,0.11469525163824687,1.0
0.3,0.7403973509933774,0.4184131736526946,0.11493306697191949,1.0
0.305,0.7403973509933774,0.42061700526711815,0.11585686045074291,1.0
0.31,0.7377483443708609,0.4206948640483384,0.11588959012289471,1.0
0.315,0.7364238410596027,0.42442748091603055,0.11746619161175768,1.0
0.32,0.7350993377483444,0.4265949269792467,0.11838849416346979,1.0
0.325,0.7337748344370861,0.4281298299845441,0.11904468654280881,1.0
0.33,0.7324503311258278,0.43001555209953346,0.11985434855463155,1.0
0.335,0.7298013245033113,0.4324960753532182,0.12092530016310919,1.0
0.34,0.7284768211920529,0.43478260869565216,0.12191848906560637,1.0
0.34500000000000003,0.7271523178807947,0.4381484437350359,0.12339105430730297,1.0
0.35000000000000003,0.7271523178807947,0.4406099518459069,0.12447602243734522,1.0
0.355,0.7245033112582782,0.44327390599675853,0.12565796922510994,1.0
0.36,0.7245033112582782,0.4461663947797716,0.12695052444315436,1.0
0.365,0.7245033112582782,0.4490968801313629,0.12826994724339652,1.0
0.37,0.7218543046357616,0.4526578073089701,0.12988677892427594,1.0
0.375,0.7192052980132451,0.4551550712489522,0.13102963470781848,1.0
0.38,0.7165562913907285,0.45692567567567566,0.1318444702334512,1.0
0.385,0.7152317880794702,0.4599659284497445,0.1332524535544852,1.0
0.39,0.7125827814569536,0.46101113967437873,0.1337391100611442,1.0
0.395,0.7125827814569536,0.46379310344827585,0.13504096209295,1.0
0.4,0.7086092715231788,0.4652173913043478,0.13571118709479266,1.0
0.405,0.7086092715231788,0.46847635726795095,0.13725430725457394,1.0
0.41000000000000003,0.7086092715231788,0.4713656387665198,0.13863361346579542,1.0
0.41500000000000004,0.7059602649006622,0.4737777777777778,0.13979331594019248,1.0
0.42,0.7033112582781457,0.47623318385650226,0.14098154333813573,1.0
0.425,0.7006622516556291,0.48047229791099,0.1430515117377496,1.0
0.43,0.6966887417218544,0.48390064397424104,0.14474301198931872,1.0
0.435,0.695364238410596,0.487012987012987,0.14629229833371102,1.0
0.44,0.6940397350993377,0.4897196261682243,0.1476503622073004,1.0
0.445,0.6940397350993377,0.4938737040527804,0.14975436905714204,1.0
0.45,0.6940397350993377,0.49809885931558934,0.15191920662738637,1.0
0.455,0.6887417218543046,0.5004812319538018,0.15315106552348062,1.0
0.46,0.6847682119205298,0.500968992248062,0.15340427922846972,1.0
0.465,0.6834437086092715,0.5078740157480315,0.15702612214151843,1.0
0.47000000000000003,0.6821192052980133,0.5109126984126984,0.15864232374941373,1.0
0.47500000000000003,0.6794701986754967,0.513,0.15976055512453854,1.0
0.48,0.6781456953642384,0.5182186234817814,0.16258542642530996,1.0
0.485,0.6741721854304635,0.5193877551020408,0.1632240520810143,1.0
0.49,0.6728476821192053,0.5231719876416066,0.165305837103196,1.0
0.495,0.6688741721854304,0.5260416666666666,0.16689963845024705,1.0
0.5,0.6688741721854304,0.5276907001044933,0.1678214766891848,1.0
0.505,0.6662251655629139,0.5311510031678986,0.1697701882779415,1.0
0.51,0.6662251655629139,0.5334040296924708,0.17104956165966972,1.0
0.515,0.6635761589403973,0.5341151385927505,0.17145510683010357,1.0
0.52,0.6609271523178808,0.5377155172413793,0.17352137186626265,1.0
0.525,0.6582781456953642,0.5402173913043479,0.17497008701996963,1.0
0.53,0.6543046357615894,0.5410733844468785,0.1754682021062289,1.0
0.535,0.6503311258278146,0.543141592920354,0.17667692079307118,1.0
0.54,0.6503311258278146,0.5461624026696329,0.1784556943007431,1.0
0.545,0.6450331125827815,0.5502824858757062,0.18090762211341352,1.0
0.55,0.6397350993377483,0.5551724137931034,0.18385712017869293,1.0
0.555,0.6370860927152318,0.5567129629629629,0.18479535112969525,1.0
0.56,0.6357615894039735,0.5594405594405595,0.18646725135641046,1.0
0.5650000000000001,0.6317880794701987,0.5625,0.1883590570529065,1.0
0.5700000000000001,0.6278145695364239,0.5656324582338902,0.19031433434127482,1.0
0.5750000000000001,0.6264900662251656,0.5698795180722892,0.19299542457383267,1.0
0.58,0.6211920529801325,0.5740514075887393,0.1956633729476476,1.0
0.585,0.6198675496688741,0.5763546798029556,0.1971511415835646,1.0
0.59,0.6172185430463576,0.5803237858032378,0.19974006312852455,1.0
0.595,0.614569536423841,0.5843828715365239,0.20242110287730947,1.0
0.6,0.6119205298013245,0.5885350318471337,0.20519926646648037,1.0
0.605,0.6079470198675496,0.5907335907335908,0.20668513736549682,1.0
0.61,0.6066225165562914,0.5971316818774446,0.2110688692233236,1.0
0.615,0.6039735099337749,0.5984251968503937,0.211966099613652,1.0
0.62,0.6026490066225165,0.600263852242744,0.21324790284845785,1.0
0.625,0.6013245033112583,0.6053333333333333,0.2168217523035056,1.0
0.63,0.5986754966887418,0.6099865047233468,0.22015437627798057,1.0
0.635,0.5960264900662252,0.6147540983606558,0.22362207595675238,1.0
0.64,0.5920529801324503,0.6243016759776536,0.23073329600326264,1.0
0.645,0.5854304635761589,0.6278409090909091,0.23342761785960497,1.0
0.65,0.5814569536423841,0.6325648414985591,0.2370743829635845,1.0
0.655,0.5774834437086093,0.6374269005847953,0.24088951193604788,1.0
0.66,0.5721854304635762,0.6409495548961425,0.24369365267279836,1.0
0.665,0.5708609271523178,0.6413690476190477,0.2440298557415658,1.0
0.67,0.5655629139072847,0.646969696969697,0.24856564024641303,1.0
0.675,0.56158940397351,0.6493108728943339,0.25048805664106266,1.0
0.68,0.5562913907284768,0.6531881804043546,0.25370675453047786,1.0
0.685,0.552317880794702,0.6556603773584906,0.25578209757118503,1.0
0.6900000000000001,0.5496688741721855,0.6618819776714514,0.2610862832851384,1.0
0.6950000000000001,0.5456953642384106,0.6645161290322581,0.2633677980359391,1.0
0.7000000000000001,0.543046357615894,0.6677524429967426,0.26620064635834506,1.0
0.705,0.5364238410596026,0.6705298013245033,0.26865835108001224,1.0
0.71,0.5324503311258278,0.6756302521008404,0.2732370622581032,1.0
0.715,0.5311258278145695,0.6819727891156463,0.2790518422358349,1.0
0.72,0.5271523178807948,0.6826758147512865,0.2797048169230045,1.0
0.725,0.5245033112582781,0.6898954703832753,0.28651065004565845,1.0
0.73,0.5218543046357615,0.6973451327433628,0.2937303137760716,1.0
0.735,0.5218543046357615,0.7023172905525846,0.29866452905613483,1.0
0.74,0.5165562913907285,0.7065217391304348,0.3029114224649724,1.0
0.745,0.5152317880794702,0.7124542124542125,0.3090234069239828,1.0
0.75,0.5125827814569537,0.7206703910614525,0.3177279285737957,1.0
0.755,0.5099337748344371,0.7236842105263158,0.3209930883525059,1.0
0.76,0.5046357615894039,0.7270992366412213,0.32474114503904344,1.0
0.765,0.5033112582781457,0.7321772639691715,0.33041135707069774,1.0
0.77,0.5006622516556292,0.7397260273972602,0.3390619240692964,1.0
0.775,0.4913907284768212,0.7375745526838966,0.33656885518666657,1.0
0.78,0.48741721854304637,0.7464503042596349,0.34699979319257623,1.0
0.785,0.4821192052980132,0.7474332648870636,0.3481790722576506,1.0
0.79,0.4794701986754967,0.7494824016563147,0.3506532995100258,1.0
0.795,0.47019867549668876,0.7489451476793249,0.3500025120326364,1.0
0.8,0.4688741721854305,0.7515923566878981,0.3532235705290284,1.0
0.805,0.4609271523178808,0.7516198704103672,0.353257239620707,1.0
0.81,0.45165562913907287,0.7594654788418709,0.3630221079571026,1.0
0.8150000000000001,0.44900662251655626,0.7687074829931972,0.37496026372710684,1.0
